Tax Number,Company name
7703695246,"АО ""КРЭТ"""
7731644035,"АО ""ОДК"""
6672315362,"АО ""ПО ""УРАЛЬСКИЙ ОПТИКО-МЕХАНИЧЕСКИЙ ЗАВОД"" ИМЕНИ.Э.С.ЯЛАМОВА"
7449006184,"ПАО ""ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД"""
5050108496,"АО ""НПП ""ИСТОК"" ИМ.ШОКИНА"""
5251008501,"АО ""РУСПОЛИМЕТ"""
5045023416,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТУПИНСКАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ"""
6325000660,"АО ""ТЯЖМАШ"""
7804317900,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ АВТОМАТИЗАЦИИ И ПРОГРАММИРОВАНИЯ"" (ООО ""ТАИП"")"
7804552300,"ООО ""СМТ-АЙЛОГИК"""
0323018510,"АО ""УЛАН-УДЭНСКИЙ АВИАЦИОННЫЙ ЗАВОД"""
7414003633,"ПАО ""МАГНИТОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ"""
6665002150,"ОАО ""КУМЗ"" (КАМЕНСК-УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД)"
7725497858,"ООО ""РАПАРТ СЕРВИСЕЗ"""
7709534220,"АО ""АМР"""
7704859803,"АО ""ОБЪЕДИНЕННАЯ ПРИБОРОСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ"""
6674134107,"ООО ""УРАЛШИНА"""
6664013640,"АО ""УРАЛЬСКИЙ ЗАВОД ГРАЖДАНСКОЙ АВИАЦИИ"""
7731018824,"АО ""АВИАЗАПЧАСТЬ"""
7721609835,"АО ""ФИНВАЛ ЭНЕРГО"""
6730046954,"АО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СОВРЕМЕННЫХ ТЕЛЕКОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ"""
0547003781,"АО КОНЦЕРН ""КИЗЛЯРСКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАВОД"""
7725136315,"ООО ""ТОРГОВЫЙ ДОМ ЕПК"""
6229009163,"ПАО ""ТЯЖПРЕССМАШ"""
